2.5222 238.088000 -23.261785 50.825111
2.5610 248.661000 -4.851765 5.619604
2.5997 282.197500 -9.561636 5.001727
2.6384 254.747000 -4.919160 8.873666
2.6771 273.521000 -4.962136 5.222590
2.7158 283.203500 -6.171389 6.301300
2.7545 304.847250 -4.676115 4.753309
2.7932 309.758000 -3.214034 2.773213
2.8319 329.478000 -3.345828 3.343084
2.8706 299.907250 -8.883345 9.900669
2.9093 296.134000 -6.494026 3.785037
2.9480 304.966250 -2.260395 2.719865
2.9867 314.092000 -3.890698 3.608226
3.0255 336.376750 -5.177257 4.845868
3.0641 311.650000 -4.027844 5.411453
3.1029 328.064500 -4.971588 3.918742
3.1415 323.007500 -4.642451 4.806224
3.1803 324.787500 -4.475894 5.737416
3.2189 343.106500 -5.456252 4.798510
3.2576 331.491000 -3.598231 2.753090
3.2964 324.753000 -4.062519 4.184172
3.3351 332.259000 -2.670930 3.303805
3.3738 367.708250 -3.716081 3.508059
3.4028 373.574500 -5.016609 3.492972
3.4222 388.774000 -3.732669 3.929533
3.4415 374.834500 -3.499456 3.580474
3.4609 378.098000 -4.431238 3.533254
3.4899 362.679750 -3.934862 3.688366
3.5286 352.070000 -3.660955 3.765382
3.5673 353.109000 -3.569669 3.307937
3.6060 378.960250 -3.065259 3.786079
3.6447 390.335750 -4.542953 4.513674
3.6834 377.618000 -2.805282 2.959401
3.7221 383.310000 -4.139350 3.588774
3.7608 415.819250 -3.689301 3.944986
3.7995 395.362250 -3.056452 3.128657
3.8382 408.236500 -2.853135 2.955795
3.8769 416.305250 -3.053780 3.304037
3.9157 405.306000 -3.937181 3.703788
3.9543 402.737000 -4.272741 4.063289
3.9931 403.517500 -2.813987 3.415343
4.0318 385.428000 -6.567506 5.707184
4.0705 386.359750 -3.524566 5.021224
4.1092 393.900000 -2.870985 2.776285
4.1479 394.182500 -4.031333 3.346126
4.1866 394.262750 -2.663504 4.624844
4.2253 413.233000 -5.687086 4.923011
4.2640 409.868000 -2.923929 2.923820
4.3027 414.735250 -3.960477 4.092431
4.3414 432.967250 -5.456338 5.143196
4.3801 407.193250 -4.738378 5.767040
4.4188 421.835000 -5.687929 5.088074
4.4575 443.806500 -3.421408 3.770496
4.4962 428.571000 -12.107672 11.614421
4.5349 457.675250 -9.710587 10.164868
4.5737 457.612500 -9.852233 9.713096
4.6123 457.767750 -14.754688 14.744413
4.6510 469.934250 -7.050137 7.064566
4.6898 475.031750 -5.472468 8.330985
4.7285 531.641500 -11.076860 9.400932
4.7671 504.793500 -6.719393 7.073247
4.8058 507.415500 -8.428163 10.836724
4.8445 528.996750 -13.908971 9.882407
4.8833 487.101750 -10.443429 13.356995
4.9220 511.292250 -8.886439 8.101378
4.9607 442.354250 -8.854752 6.760214
